Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	p-values	p-values (corrected)	Effect size	Note	CV: mean rel. freq. (%)	CV: std. dev. (%)	HE: mean rel. freq. (%)	HE: std. dev. (%)	WA: mean rel. freq. (%)	WA: std. dev. (%)	CrassostreavirginicaG1	CrassostreavirginicaG1: parent seq. count	CrassostreavirginicaG1: rel. freq. (%)	CrassostreavirginicaG10	CrassostreavirginicaG10: parent seq. count	CrassostreavirginicaG10: rel. freq. (%)	CrassostreavirginicaG2	CrassostreavirginicaG2: parent seq. count	CrassostreavirginicaG2: rel. freq. (%)	CrassostreavirginicaG3	CrassostreavirginicaG3: parent seq. count	CrassostreavirginicaG3: rel. freq. (%)	CrassostreavirginicaG4	CrassostreavirginicaG4: parent seq. count	CrassostreavirginicaG4: rel. freq. (%)	CrassostreavirginicaG5	CrassostreavirginicaG5: parent seq. count	CrassostreavirginicaG5: rel. freq. (%)	CrassostreavirginicaG6	CrassostreavirginicaG6: parent seq. count	CrassostreavirginicaG6: rel. freq. (%)	CrassostreavirginicaG7	CrassostreavirginicaG7: parent seq. count	CrassostreavirginicaG7: rel. freq. (%)	CrassostreavirginicaG8	CrassostreavirginicaG8: parent seq. count	CrassostreavirginicaG8: rel. freq. (%)	CrassostreavirginicaG9	CrassostreavirginicaG9: parent seq. count	CrassostreavirginicaG9: rel. freq. (%)	HecesP10	HecesP10: parent seq. count	HecesP10: rel. freq. (%)	HecesP11	HecesP11: parent seq. count	HecesP11: rel. freq. (%)	HecesP12	HecesP12: parent seq. count	HecesP12: rel. freq. (%)	HecesP13	HecesP13: parent seq. count	HecesP13: rel. freq. (%)	HecesP14	HecesP14: parent seq. count	HecesP14: rel. freq. (%)	HecesP6	HecesP6: parent seq. count	HecesP6: rel. freq. (%)	HecesP7	HecesP7: parent seq. count	HecesP7: rel. freq. (%)	HecesP8	HecesP8: parent seq. count	HecesP8: rel. freq. (%)	HecesP9	HecesP9: parent seq. count	HecesP9: rel. freq. (%)	AguaP1	AguaP1: parent seq. count	AguaP1: rel. freq. (%)	AguaP2	AguaP2: parent seq. count	AguaP2: rel. freq. (%)	AguaP3	AguaP3: parent seq. count	AguaP3: rel. freq. (%)	AguaP4	AguaP4: parent seq. count	AguaP4: rel. freq. (%)	AguaP5	AguaP5: parent seq. count	AguaP5: rel. freq. (%)	
Bacteria	Nitrospira	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	0.00358223375013	0.00358223375013	0.41512605042		30.0	45.8257569496	0.0	0.0	80.0	40.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	100.0	2.0	2.0	100.0	3.0	3.0	100.0	0.0	0.0	0.0	7.0	7.0	100.0	
Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	0.00358223375013	0.00358223375013	0.41512605042		30.0	45.8257569496	0.0	0.0	80.0	40.0	1.0	1.0	100.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	2.0	2.0	100.0	4.0	4.0	100.0	0.0	0.0	0.0	11.0	11.0	100.0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	0.00358223375013	0.00358223375013	0.41512605042		30.0	45.8257569496	0.0	0.0	80.0	40.0	4.0	4.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0	100.0	5.0	5.0	100.0	5.0	5.0	100.0	0.0	0.0	0.0	13.0	13.0	100.0	
Bacteria	Acidobacteria	Acidobacteria_Gp16	Acidobacteria_Gp16_order_incertae_sedis	Acidobacteria_Gp16_family_incertae_sedis	Gp16	0.00369921724918	0.00369921724918	0.413333333333		50.0	50.0	0.0	0.0	80.0	40.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	3.0	3.0	100.0	2.0	2.0	100.0	3.0	3.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	100.0	3.0	3.0	100.0	7.0	7.0	100.0	0.0	0.0	0.0	11.0	11.0	100.0	
Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	0.00369921724918	0.00369921724918	0.413333333333		50.0	50.0	0.0	0.0	80.0	40.0	3.0	3.0	100.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	100.0	1.0	1.0	100.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0	100.0	1.0	1.0	100.0	4.0	4.0	100.0	0.0	0.0	0.0	3.0	3.0	100.0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	0.00413024291919	0.00413024291919	0.407142857143		0.0	0.0	0.0	0.0	16.0	17.1787983023	0.0	24.0	0.0	0.0	52.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	17.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	1.0	15.0	6.66666666667	1.0	3.0	33.3333333333	0.0	5.0	0.0	0.0	187.0	0.0	2.0	5.0	40.0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Cellvibrio	0.00434464492367	0.00434464492367	0.404278512068		0.0976175693497	0.20110570053	0.0	0.0	0.37691373681	0.236727139689	5.0	839.0	0.595947556615	2.0	526.0	0.380228136882	0.0	70.0	0.0	0.0	59.0	0.0	0.0	47.0	0.0	0.0	164.0	0.0	0.0	42.0	0.0	0.0	95.0	0.0	0.0	99.0	0.0	0.0	621.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	204.0	0.0	0.0	1.0	0.0	0.0	1726.0	0.0	8.0	3429.0	0.233304170312	4.0	784.0	0.510204081633	4.0	871.0	0.459242250287	0.0	0.0	0.0	6.0	880.0	0.681818181818	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	0.00468368985314	0.00468368985314	0.4		60.0	48.9897948557	100.0	0.0	20.0	40.0	5.0	5.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0	100.0	0.0	0.0	0.0	1.0	1.0	100.0	168.0	168.0	100.0	115.0	115.0	100.0	2.0	2.0	100.0	658.0	658.0	100.0	286.0	286.0	100.0	54.0	54.0	100.0	232.0	232.0	100.0	380.0	380.0	100.0	32.0	32.0	100.0	113.0	113.0	100.0	637.0	637.0	100.0	183.0	183.0	100.0	10.0	10.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bacteria	Chlorobi	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	0.00468368985314	0.00468368985314	0.4		40.0	48.9897948557	0.0	0.0	80.0	40.0	2.0	2.0	100.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	1.0	1.0	100.0	9.0	9.0	100.0	0.0	0.0	0.0	9.0	9.0	100.0	
Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	0.00472587197748	0.00472587197748	0.399487446343		7.68610350572	17.2267375239	22.2222222222	41.5739709642	79.2307692308	39.6433806976	13.0	22.0	59.0909090909	15.0	244.0	6.14754098361	0.0	15.0	0.0	0.0	3.0	0.0	1.0	31.0	3.22580645161	3.0	145.0	2.06896551724	0.0	10.0	0.0	1.0	66.0	1.51515151515	1.0	36.0	2.77777777778	7.0	344.0	2.03488372093	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	22.0	100.0	25.0	26.0	96.1538461538	2.0	2.0	100.0	20.0	20.0	100.0	0.0	0.0	0.0	3.0	3.0	100.0	
